image_id,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
1,1,5,0.1,TLD,SE,Immersion,125000x,NA,3,30,70
2,1,5,0.05,TLD,SE,Immersion,125000x,NA,3,30,70
3,1,5,0.013,TLD,SE,Immersion,125000x,NA,3,30,70
4,1,5,0.0031,TLD,SE,Immersion,125000x,NA,3,30,70
5,1,5,0.0031,TLD,SE,Immersion,125000x,New area to account for beam history effect,3,30,70
6,1,5,0.1,TLD,SE,Immersion,125000x,same are as sample 5,3,30,70
7,1,5,0.05,TLD,SE,Immersion,125000x,same are as sample 5,3,30,70
8,1,5,0.013,TLD,SE,Immersion,125000x,same are as sample 5,3,30,70
9,1,5,0.0031,TLD,SE,Immersion,125000x,same are as sample 5,3,30,70
10,1,5,0.0031,TLD,SE,Immersion,125000x,"same are as sample 5  and same scan as 9, adjusted brightness",3,30,70
11,2,5,0.1,TLD,SE,Immersion,125000x,NA,3,30,70
12,2,5,0.0031,TLD,SE,Immersion,125000x,NA,3,30,70
13,2,4,0.0031,TLD,SE,Immersion,125000x,NA,3,30,70
14,2,4,0.1,TLD,SE,Immersion,125000x,NA,3,30,70
15,2,3,0.1,TLD,SE,Immersion,125000x,NA,3,30,70
16,2,3,0.0031,TLD,SE,Immersion,125000x,NA,3,30,70
17,2,2,0.0031,TLD,SE,Immersion,125000x,There are two instances of this one is a little blurry,3,30,70
18,2,2,0.1,TLD,SE,Immersion,125000x,NA,3,30,70
19,2,1,0.1,TLD,SE,Immersion,125000x,NA,3,30,70
20,2,1,0.0031,TLD,SE,Immersion,125000x,NA,3,30,70
21,3,5,0.05,TLD,SE,Immersion,125000x,NA,3,30,70
22,3,5,0.05,TLD,SE,Immersion,125000x,NA,3,30,10
23,3,5,0.05,TLD,SE,Immersion,125000x,NA,3,30,20
24,3,5,0.05,TLD,SE,Immersion,125000x,NA,3,30,30
25,3,5,0.05,TLD,SE,Immersion,125000x,NA,3,30,40
