image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent
1.0,95.445,4.517,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4.129,43.985,11.911,12.645,11.523,1.122,1.165,13.52,0.0,0.0
6.0,0.426,45.645,52.992,0.937,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,5.853,33.86,33.776,22.083,4.365,0.033,0.03,0.0,0.0
3.0,0.0,0.0,0.842,2.311,2.525,15.958,5.324,9.555,59.81,3.675
5.0,0.0,0.0,0.357,48.885,48.045,1.967,0.705,0.041,0.0,0.0
10.0,0.0,0.0,0.0,0.147,8.865,52.194,29.289,9.017,0.488,0.0
8.0,0.0,0.0,0.0,0.576,2.744,21.392,53.638,21.65,0.0,0.0
9.0,0.0,0.0,0.0,0.723,4.194,2.974,9.808,45.856,30.916,5.529
4.0,0.0,0.0,0.0,0.0,0.021,0.028,0.038,0.331,8.786,90.796
