image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent,rank_11_percent
14.0,56.899,33.539,1.162,1.635,3.052,1.053,1.767,0.893,0.0,0.0,0.0
15.0,34.074,55.804,1.407,2.468,1.953,1.632,0.989,1.673,0.0,0.0,0.0
13.0,8.135,1.451,4.018,5.492,3.29,13.254,19.099,35.851,6.701,2.709,0.0
16.0,0.892,8.482,5.335,12.034,14.725,44.214,10.249,3.186,0.883,0.0,0.0
11.0,0.0,0.488,49.891,19.427,3.996,3.329,7.277,3.454,5.169,6.442,0.527
18.0,0.0,0.122,29.746,32.945,16.878,5.218,4.044,3.674,4.102,2.816,0.455
17.1,0.0,0.06,7.372,3.755,13.539,16.798,39.121,19.184,0.171,0.0,0.0
19.0,0.0,0.054,1.069,17.656,39.16,3.549,5.102,9.538,7.32,5.867,10.685
17.0,0.0,0.0,0.0,4.588,0.823,8.215,7.588,13.489,59.23,6.067,0.0
20.0,0.0,0.0,0.0,0.0,0.634,2.089,3.787,7.151,13.75,72.579,0.01
12.0,0.0,0.0,0.0,0.0,1.95,0.649,0.977,1.907,2.674,3.52,88.323
