image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent,rank_11_percent
11.0,77.364,18.475,4.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.915,27.248,52.807,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2.721,54.26,43.003,0.012,0.004,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.017,0.029,24.691,71.487,2.51,1.241,0.025,0.0,0.0,0.0
16.0,0.0,0.0,0.0,74.816,24.894,0.29,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,1.377,60.601,29.925,2.928,3.867,1.246,0.056
12.0,0.0,0.0,0.0,0.0,0.0,33.186,64.143,2.582,0.089,0.0,0.0
17.1,0.0,0.0,0.0,0.368,1.946,2.425,3.175,69.826,15.371,4.646,2.243
17.0,0.0,0.0,0.0,0.083,0.292,0.988,1.514,4.655,41.039,27.174,24.255
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,14.608,21.788,47.634,15.968
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.376,17.846,19.3,57.478
