image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent,rank_11_percent,rank_12_percent
31.0,59.245,3.179,2.343,2.635,2.023,1.935,7.122,2.175,1.552,13.586,3.364,0.841
23.0,25.171,2.999,1.57,1.17,0.955,1.351,2.12,5.213,4.543,32.848,22.06,0.0
28.0,8.597,24.003,8.253,5.047,14.904,14.221,16.417,6.481,2.077,0.0,0.0,0.0
26.0,2.057,1.385,40.655,6.803,6.308,9.421,6.335,20.697,6.24,0.099,0.0,0.0
25.0,2.031,3.265,16.303,9.127,4.946,8.481,19.841,16.763,19.243,0.0,0.0,0.0
29.0,1.945,59.477,5.246,4.096,3.273,8.181,3.207,4.539,9.647,0.377,0.012,0.0
30.0,0.489,3.098,13.655,14.789,24.598,25.432,7.125,7.382,2.254,1.178,0.0,0.0
27.0,0.302,1.65,10.111,49.779,21.074,14.415,2.617,0.052,0.0,0.0,0.0,0.0
21.0,0.163,0.944,1.801,4.947,6.033,3.269,1.863,1.47,3.08,29.591,46.839,0.0
24.0,0.0,0.0,0.063,0.768,3.581,6.002,20.83,25.666,37.342,5.668,0.08,0.0
32.0,0.0,0.0,0.0,0.839,12.305,7.253,12.51,9.333,13.914,16.515,27.331,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.039,0.013,0.229,0.108,0.138,0.314,99.159
