image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
31.0,59.245,3.179,2.343,64.767,3.69075,1.0,3.73352
23.0,25.171,2.999,1.57,29.74,7.22011,10.0,4.10985
28.0,8.597,24.003,8.253,40.853,4.46856,5.0,2.31267
26.0,2.057,1.385,40.655,44.097,5.09141,4.0,2.318
25.0,2.031,3.265,16.303,21.599,6.15772,7.0,2.34262
29.0,1.945,59.477,5.246,66.668,3.67958,2.0,2.53616
30.0,0.489,3.098,13.655,17.242,5.23385,5.0,1.68976
27.0,0.302,1.65,10.111,12.063,4.43646,4.0,1.01734
21.0,0.163,0.944,1.801,2.908,9.40681,10.0,2.40929
24.0,0.0,0.0,0.063,0.063,8.01954,8.0,1.23136
32.0,0.0,0.0,0.0,0.0,8.6165,9.0,2.12988
22.0,0.0,0.0,0.0,0.0,11.9787,12.0,0.268061
