sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V,threshold,segmented_fraction,mean_region_area,median_region_area,separability,connected_components,threshold_instability
Fresh,LFP,21.0,32200.78929,13992.03043,7.696908953,16863625.08,9932.408183,20.04854479,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,70.0,0.48632812,0.516370152640264,5721.971428571429,170.5,1.8332901,140,0.1184439306326113
Fresh,LFP,22.0,24726.93604,10977.11296,7.381590331,12650218.99,8164.11528,18.8640706,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,10.0,0.38085938,0.4872215346534653,4753.811320754717,209.0,1.6785153,159,0.1320852499680459
Fresh,LFP,23.0,32925.3631,13846.68957,7.673778718,18355114.91,9370.660798,24.06081774,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,20.0,0.5097656,0.4779039036716171,5113.110344827586,179.0,1.7452216,145,0.1367330752171424
Fresh,LFP,24.0,33349.55391,14277.42885,7.682472253,21481014.4,11018.86529,17.79371477,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,30.0,0.5214844,0.4654051928630363,3989.011049723757,129.0,1.7360348,181,0.1390070399897919
Fresh,LFP,25.0,34227.15401,14503.63673,7.687276042,20707198.49,10726.01787,19.5918672,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,40.0,0.5371094,0.4590855765264026,4023.768361581921,128.0,1.7485684,177,0.1399127065011518
Fresh,LFP,26.0,34203.82031,14650.63307,7.679246559,23516172.46,11667.25917,16.54728647,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,50.0,0.5527344,0.4140650783828383,3328.310880829016,103.0,1.7670339,193,0.1404562940425993
Fresh,LFP,27.0,34870.41638,14753.82999,7.674882336,22801423.33,11487.75622,17.57176397,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,60.0,0.5605469,0.419308864480198,3423.678947368421,98.5,1.7694256,190,0.1420373730681523
Fresh,LFP,28.0,35378.01159,14754.014,7.66413909,21714422.28,10748.08952,20.18950688,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,70.0,0.5722656,0.407884694719472,3615.862857142857,135.0,1.783253,175,0.1429201840831273
Fresh,LFP,29.0,35378.49864,14987.68809,7.65600779,24867398.89,12104.68236,16.14010666,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,80.0,0.5761719,0.4002275422854785,3120.0854271356784,90.0,1.7874364,199,0.1418809737898034
Fresh,LFP,30.0,35592.93798,14886.81735,7.648372522,21596217.77,11195.18781,19.00895556,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,90.0,0.5800781,0.3959938376650165,3451.2865168539324,132.0,1.7947775,178,0.1424337937580898
Fresh,LFP,31.0,35207.98682,14994.37192,7.650191322,25943333.12,12447.06207,15.21537509,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,100.0,0.5800781,0.3837432962046204,2991.577889447236,95.0,1.8061267,199,0.1392378774660967
Fresh,LFP,32.0,33626.47515,14619.08781,7.633081574,21983121.43,11647.01311,16.25719121,3,5,0.05,TLD,SE,Immersion,125000x,,3,30,240.0,0.5644531,0.3578576216996699,3050.362637362637,128.5,1.8442318,182,0.1269660226573502
