image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent,rank_11_percent,rank_12_percent
21.0,98.506,1.467,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,1.494,28.645,53.374,8.816,0.575,1.524,1.007,0.865,0.389,0.169,0.303,2.839
23.0,0.0,58.984,36.874,3.297,0.283,0.294,0.209,0.016,0.043,0.0,0.0,0.0
32.0,0.0,10.904,8.414,29.879,3.172,11.663,7.476,16.493,2.596,6.191,2.02,1.192
31.0,0.0,0.0,0.646,0.91,1.277,2.439,2.911,2.217,12.065,6.397,45.471,25.667
30.0,0.0,0.0,0.513,5.494,5.348,8.973,30.031,42.334,4.109,2.724,0.441,0.033
25.0,0.0,0.0,0.152,31.865,35.681,15.149,13.532,2.596,0.379,0.646,0.0,0.0
24.0,0.0,0.0,0.0,16.266,36.601,17.817,4.759,17.266,3.674,0.803,2.423,0.391
28.0,0.0,0.0,0.0,3.473,17.02,40.906,32.948,2.63,1.996,0.837,0.118,0.072
27.0,0.0,0.0,0.0,0.0,0.0,0.971,3.956,9.664,43.64,26.23,13.481,2.058
26.0,0.0,0.0,0.0,0.0,0.0,0.007,1.55,4.704,30.255,51.288,9.281,2.915
29.0,0.0,0.0,0.0,0.0,0.043,0.257,1.621,1.215,0.854,4.715,26.462,64.833
