image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
21.0,98.506,1.467,0.027,100.0,1.01521,1.0,0.124574
22.0,1.494,28.645,53.374,83.513,3.2275,3.0,1.90696
23.0,0.0,58.984,36.874,95.858,2.46935,2.0,0.657207
32.0,0.0,10.904,8.414,19.318,5.58478,5.0,2.53952
31.0,0.0,0.0,0.646,0.646,10.4545,11.0,1.76062
30.0,0.0,0.0,0.513,0.513,7.2245,7.0,1.31964
25.0,0.0,0.0,0.152,0.152,5.22578,5.0,1.1926
24.0,0.0,0.0,0.0,0.0,5.98853,5.0,1.72058
28.0,0.0,0.0,0.0,0.0,6.246,6.0,1.0258
27.0,0.0,0.0,0.0,0.0,9.38877,9.0,1.08531
26.0,0.0,0.0,0.0,0.0,9.7077,10.0,0.86908
29.0,0.0,0.0,0.0,0.0,11.4674,12.0,0.97961
