simulation,Entropy,Sharpness,Gradient,RMS_Contrast,SNR
1.0,0.32093,0.31185,0.318334,0.0373488,0.0115382
2.0,0.204233,0.198229,0.439252,0.0111481,0.147138
3.0,0.0156203,0.241508,0.383949,0.0857999,0.273123
4.0,0.0820249,0.0488487,0.168121,0.480713,0.220292
5.0,0.24026,0.0430632,0.354013,0.23635,0.126313
6.0,0.230125,0.250116,0.0425268,0.0991109,0.378121
7.0,0.127003,0.413086,0.231503,0.0777448,0.150663
8.0,0.258363,0.138466,0.129638,0.35395,0.119584
9.0,0.265903,0.2773,0.216136,0.0145598,0.226101
10.0,0.417606,0.345978,0.0863523,0.0989597,0.0511042
11.0,0.060537,0.00361137,0.02859,0.224655,0.682607
12.0,0.324561,0.163588,0.229081,0.208109,0.0746604
13.0,0.095166,0.120863,0.132455,0.466453,0.185062
14.0,0.384141,0.243696,0.138378,0.0103816,0.223404
15.0,0.136894,0.332211,0.446778,0.0731564,0.0109603
16.0,0.128747,0.355468,0.114303,0.296654,0.104829
17.0,0.657866,0.144583,0.0672975,0.0713347,0.058919
18.0,0.0154401,0.48478,0.126693,0.109047,0.26404
19.0,0.0476829,0.488444,0.328964,0.0838332,0.0510756
20.0,0.144809,0.0831275,0.020654,0.137321,0.614088
21.0,0.110787,0.338496,0.22473,0.122762,0.203225
22.0,0.160153,0.235262,0.0837677,0.0482608,0.472556
23.0,0.0694644,0.0930293,0.153602,0.479012,0.204893
24.0,0.119494,0.377045,0.269147,0.204471,0.0298437
25.0,0.53155,0.203106,0.0553097,0.178503,0.031532
26.0,0.184634,0.196052,0.05938,0.00924928,0.550685
27.0,0.135393,0.249411,0.0591309,0.280976,0.275089
28.0,0.0118794,0.692825,0.0859203,0.178291,0.0310849
29.0,0.238434,0.0693724,0.391147,0.112229,0.188818
30.0,0.220434,0.31454,0.197154,0.255884,0.0119893
31.0,0.192419,0.304189,0.0704168,0.412602,0.0203734
32.0,0.436357,0.0570947,0.104779,0.381879,0.0198893
33.0,0.0588149,0.413439,0.302529,0.0886817,0.136535
34.0,0.181686,0.460304,0.0868197,0.185372,0.0858178
35.0,0.0656344,0.460155,0.120042,0.288883,0.0652859
36.0,0.0380897,0.233902,0.290216,0.194689,0.243104
37.0,0.129768,0.139079,0.287173,0.359617,0.0843626
38.0,0.0155769,0.240959,0.145254,0.41892,0.17929
39.0,0.0652141,0.487797,0.266141,0.0535291,0.127318
40.0,0.522829,0.0606041,0.0388193,0.0667977,0.31095
41.0,0.578147,0.104977,0.00431654,0.23258,0.0799794
42.0,0.30648,0.0158006,0.101432,0.150838,0.425449
43.0,0.0595477,0.355833,0.156551,0.354652,0.0734162
44.0,0.105804,0.0803693,0.331907,0.206549,0.27537
45.0,0.260982,0.234789,0.212658,0.284565,0.00700592
46.0,0.358801,0.310038,0.104584,0.0571547,0.169422
47.0,0.283203,0.0455665,0.200382,0.415091,0.0557579
