image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent
54.0,60.313,7.826,2.407,0.607,3.418,2.358,7.038,16.033,0.0,0.0
59.0,35.951,18.439,15.318,23.138,7.108,0.0,0.046,0.0,0.0,0.0
56.0,3.336,42.345,4.153,2.019,0.519,3.232,6.524,9.132,28.74,0.0
53.0,0.4,0.735,0.032,1.238,2.17,2.573,12.099,11.533,12.285,56.935
60.0,0.0,21.311,12.434,17.538,18.33,8.458,3.74,18.0,0.189,0.0
57.0,0.0,9.325,22.918,20.84,16.312,23.083,7.44,0.082,0.0,0.0
58.0,0.0,9.325,22.918,20.84,16.312,23.083,7.44,0.082,0.0,0.0
55.0,0.0,0.019,30.271,3.54,1.288,0.336,1.738,10.478,11.746,40.584
61.0,0.0,0.0,3.142,0.304,11.04,8.571,13.221,14.959,46.282,2.481
62.0,0.0,0.0,0.0,7.858,18.975,35.077,25.071,12.343,0.676,0.0
