image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent,rank_11_percent,rank_12_percent,rank_13_percent,rank_14_percent,rank_15_percent,rank_16_percent,rank_17_percent,rank_18_percent,rank_19_percent,rank_20_percent,rank_21_percent,rank_22_percent,rank_23_percent
67.0,64.314,14.598,8.101,3.777,2.693,1.223,1.565,0.91,1.274,0.928,0.132,0.151,0.276,0.028,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,20.669,5.221,9.104,5.78,6.761,9.999,23.745,3.466,7.786,4.73,1.753,0.739,0.189,0.055,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,7.93,13.381,3.748,7.044,10.159,9.969,10.003,6.941,4.672,4.308,6.494,3.216,1.791,1.643,1.694,2.166,1.905,0.833,0.518,0.404,1.024,0.157,0.0
75.0,2.744,15.85,21.787,18.712,18.922,9.451,3.55,2.254,4.819,1.011,0.47,0.27,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,2.558,4.276,4.182,6.057,12.62,19.319,16.565,14.237,5.265,6.102,3.971,1.644,1.088,1.332,0.403,0.321,0.026,0.034,0.0,0.0,0.0,0.0,0.0
64.0,0.957,5.242,0.8,0.605,1.533,1.29,1.824,2.104,2.761,4.366,6.195,4.175,3.369,5.607,4.943,6.339,7.32,7.723,9.186,11.106,6.897,3.111,2.547
77.0,0.663,1.291,2.484,0.598,2.467,3.177,6.408,3.973,3.103,2.582,2.335,2.814,2.901,2.63,2.578,2.515,2.614,3.94,4.862,4.642,4.367,13.478,23.578
74.0,0.146,6.174,29.535,36.613,16.356,4.72,2.303,3.497,0.311,0.227,0.113,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.019,31.792,11.605,7.663,17.637,22.047,6.862,2.344,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,1.109,6.798,7.648,3.906,5.536,8.939,19.639,10.126,10.414,8.158,5.902,3.129,3.976,1.634,2.728,0.131,0.038,0.189,0.0,0.0,0.0,0.0
82.0,0.0,1.066,1.554,1.931,4.772,6.726,9.984,18.372,21.547,7.848,8.731,9.255,4.352,2.81,1.025,0.018,0.009,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.302,1.644,0.697,3.994,4.755,10.162,6.399,5.178,4.554,6.068,5.931,4.567,4.009,4.707,7.46,10.145,3.899,4.966,7.009,3.554,0.0
63.0,0.0,0.0,0.0,1.928,1.477,2.062,2.489,5.016,11.389,19.544,18.743,6.603,9.832,4.064,8.538,2.462,4.712,0.661,0.155,0.325,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,5.927,18.345,22.749,16.199,9.81,6.442,4.659,5.761,4.189,2.772,1.643,0.845,0.497,0.094,0.024,0.018
65.0,0.0,0.0,0.0,0.0,0.0,0.466,0.862,0.368,0.623,3.365,6.147,13.274,18.774,15.419,16.963,17.196,3.688,2.855,0.0,0.0,0.0,0.0,0.0
83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.553,14.523,14.051,23.337,17.41,18.002,6.095,4.025,1.392,0.508,0.002,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.507,4.306,14.431,13.529,14.638,11.585,14.736,18.66,6.753,0.712,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.021,0.099,0.76,1.282,3.533,6.945,11.505,6.266,5.436,6.007,10.891,9.044,11.97,13.981,10.567,1.449,0.244,0.0
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,2.68,6.767,3.681,5.108,7.07,10.439,10.648,20.087,14.299,10.7,6.733,1.695,0.044,0.001
81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.03,0.07,1.056,1.594,0.907,1.606,2.287,4.102,9.874,15.092,32.559,20.873,8.112,1.837,0.0
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.029,0.189,0.12,0.177,0.465,1.003,2.229,1.616,1.966,8.372,4.183,6.3,9.119,24.982,33.078,6.151
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.043,1.101,3.405,8.04,28.309,38.733,20.268,0.099
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.022,0.12,0.054,0.494,0.621,1.239,5.636,24.205,67.606
