threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.34570312,0.3774146555280528,194,3018.0721649484535,820.5,1.9201462,0.07534777923842753,ETD,Fresh,LFP,63
0.30273438,0.4046114377062706,167,3758.670658682635,1336.0,1.8917146,0.08311303347133088,ETD,Fresh,LFP,64
0.32613385,0.4487623762376238,191,3644.9842931937173,808.0,1.9131694,0.09259880123747002,ETD,Fresh,LFP,65
0.45117188,0.3644776196369637,183,3089.814207650273,554.0,2.1241841,0.06742254305211029,ETD,Fresh,LFP,66
0.49414062,0.35687719162541254,205,2700.7073170731705,414.0,2.2485123,0.06573223147534486,ETD,Fresh,LFP,67
0.42773438,0.4022838025990099,166,3759.5602409638554,492.5,1.9803084,0.08349120699847008,ETD,Fresh,LFP,68
0.27148044,0.36237752681518154,186,3022.462365591398,605.0,1.9282255,0.07107282735932172,ETD,Fresh,LFP,69
0.31445312,0.398805564150165,210,2946.147619047619,502.5,1.8735133,0.07544233589615831,ETD,Fresh,LFP,70
0.28320312,0.3777852980610561,251,2334.9840637450197,184.0,1.6376133,0.0883444718210628,ETD,Fresh,LFP,71
0.26367185,0.36323097153465345,290,1943.1103448275862,122.5,1.5677283,0.10214282349336204,ETD,Fresh,LFP,72
0.36914062,0.29657204001650167,358,1285.167597765363,127.5,1.853997,0.07480577315828758,ETD,Fresh,LFP,73
0.5292969,0.3525700030940594,330,1657.4636363636364,146.0,1.98979,0.10250941106663557,ETD,Fresh,LFP,74
0.5097656,0.42879280115511553,320,2078.7875,155.5,1.8358899,0.12434771559700088,ETD,Fresh,LFP,75
0.49414062,0.44051670792079206,332,2058.4337349397592,139.5,1.7864726,0.12699807581116987,ETD,Fresh,LFP,76
0.23632784,0.3590533467409241,396,1406.6186868686868,100.5,1.4882474,0.10645830804911328,ETD,Fresh,LFP,77
0.31835938,0.39017313840759077,177,3419.768361581921,665.0,1.965006,0.06309322828246651,ETD,Fresh,LFP,78
0.37304688,0.42601781662541255,157,4209.598726114649,563.0,2.1757689,0.058358476027820454,ETD,Fresh,LFP,79
0.33398438,0.428697400990099,193,3445.9274611398964,372.0,1.9890218,0.0749509537628793,ETD,Fresh,LFP,80
0.31054652,0.4367058580858086,233,2907.6738197424893,179.0,1.8761735,0.09827545024565743,ETD,Fresh,LFP,81
0.38476562,0.44071459880363034,179,3819.59217877095,252.0,2.0839705,0.07546098238558674,ETD,Fresh,LFP,82
0.35351562,0.44635867883663366,261,2653.114942528736,181.0,1.8350518,0.10299637070275858,ETD,Fresh,LFP,83
0.3066406,0.44686146349009903,292,2374.1198630136987,163.5,1.8227968,0.09632515495298366,ETD,Fresh,LFP,84
0.2871087,0.4099209725660066,296,2148.429054054054,128.5,1.7477474,0.09555790785816011,ETD,Fresh,LFP,85
