simulation,segmented_fraction,mean_region_area,median_region_area,separability,connected_components,threshold_instability
1.0,0.268805,0.2612,0.266631,0.0312827,0.00966423,0.162416
2.0,0.206752,0.458137,0.0116274,0.153464,0.0103286,0.159691
3.0,0.442756,0.0989415,0.314956,0.0393248,0.0234193,0.0806015
4.0,0.154046,0.0705933,0.213221,0.0382169,0.314172,0.209751
5.0,0.265695,0.168982,0.183662,0.0312277,0.0727777,0.277656
6.0,0.104993,0.341497,0.191383,0.0642715,0.124553,0.173302
7.0,0.0753001,0.0704991,0.192484,0.065032,0.292083,0.304602
8.0,0.214772,0.0144679,0.224674,0.268313,0.222291,0.0554816
9.0,0.136884,0.0706887,0.151141,0.0090164,0.0713799,0.56089
10.0,0.697088,0.0983133,0.0495528,0.0693914,0.0630387,0.0226155
11.0,0.0831511,0.105604,0.115733,0.407562,0.161698,0.126252
12.0,0.218926,0.124312,0.00932641,0.200696,0.130367,0.316372
13.0,0.302275,0.049495,0.00741537,0.137845,0.380589,0.122381
14.0,0.447336,0.158076,0.275839,0.0606224,0.0282174,0.0299101
15.0,0.0321655,0.0149435,0.469187,0.122617,0.105539,0.255547
16.0,0.0420036,0.430268,0.289782,0.0738481,0.0449922,0.119106
17.0,0.0421779,0.0104796,0.069675,0.311581,0.139589,0.426497
18.0,0.284625,0.15548,0.257388,0.101104,0.14852,0.0528822
19.0,0.0551786,0.540293,0.0353416,0.0473307,0.0781482,0.243708
20.0,0.0673784,0.111443,0.35164,0.251012,0.190694,0.0278329
21.0,0.377267,0.144154,0.039256,0.126692,0.0223798,0.290252
22.0,0.153334,0.0464415,0.00723393,0.430694,0.127473,0.234823
23.0,0.0357486,0.169869,0.166309,0.00943705,0.550381,0.0682552
24.0,0.280194,0.0488517,0.197216,0.0573801,0.32353,0.0928278
25.0,0.245409,0.166337,0.237349,0.148771,0.193088,0.00904702
26.0,0.143862,0.227427,0.0526473,0.308483,0.0152322,0.252348
27.0,0.0710181,0.130331,0.475006,0.0247396,0.0372258,0.261679
28.0,0.208059,0.0609892,0.0938994,0.158812,0.402351,0.0758891
29.0,0.140299,0.0649509,0.0558063,0.391252,0.102067,0.245626
30.0,0.0583598,0.0358668,0.220251,0.273279,0.183327,0.228916
31.0,0.128286,0.13749,0.283891,0.355508,0.0833987,0.0114259
32.0,0.202724,0.122206,0.352447,0.150841,0.0202575,0.151524
33.0,0.112277,0.0225824,0.053712,0.681778,0.0790288,0.0506211
34.0,0.104639,0.487106,0.25655,0.0465829,0.00191544,0.103206
35.0,0.0218412,0.299786,0.0154555,0.0992166,0.147544,0.416157
