image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent,rank_11_percent,rank_12_percent,rank_13_percent,rank_14_percent,rank_15_percent,rank_16_percent,rank_17_percent,rank_18_percent,rank_19_percent,rank_20_percent,rank_21_percent,rank_22_percent,rank_23_percent
79.0,73.484,19.781,5.367,0.963,0.394,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,23.983,26.101,11.038,10.415,8.778,5.991,3.696,4.862,3.423,1.234,0.42,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.179,8.179,28.409,11.279,9.207,7.035,6.192,6.431,6.607,2.302,5.678,6.191,0.3,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.178,29.684,15.536,18.917,9.411,6.626,4.276,4.053,3.561,2.807,1.923,3.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.176,7.586,6.11,3.302,4.959,4.123,4.925,4.956,11.392,6.779,11.637,16.646,4.486,3.856,4.676,0.892,1.291,1.825,0.383,0.0,0.0,0.0,0.0
78.0,0.0,7.951,18.225,16.343,18.676,15.571,15.435,2.384,2.62,1.776,0.467,0.377,0.105,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.19,7.49,15.459,8.847,11.578,10.291,22.499,10.318,3.18,1.734,2.285,3.129,0.77,0.911,1.282,0.037,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.083,3.621,7.894,16.408,20.589,19.041,12.251,9.258,5.902,3.833,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,2.726,9.779,13.886,17.65,18.176,11.972,10.45,9.364,5.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.442,1.425,5.375,7.452,4.852,6.019,13.16,16.862,24.57,10.446,4.124,1.899,2.117,0.869,0.338,0.05,0.0,0.0,0.0,0.0,0.0,0.0
83.0,0.0,0.001,0.046,0.195,0.748,1.436,0.586,1.33,3.124,1.228,2.056,2.201,3.942,59.692,15.167,3.035,3.357,1.75,0.106,0.0,0.0,0.0,0.0
84.0,0.0,0.002,0.007,0.076,0.434,0.581,0.963,0.671,1.086,2.263,1.161,1.851,2.744,10.085,53.109,24.174,0.792,0.001,0.0,0.0,0.0,0.0,0.0
69.0,0.0,0.0,0.0,0.003,0.584,3.232,7.552,7.897,10.961,22.574,24.152,6.57,3.741,4.544,4.018,0.909,2.182,1.077,0.004,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.003,0.032,0.29,1.891,7.813,11.991,26.653,48.158,2.781,0.324,0.063,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.0,0.0,0.0,0.0,0.212,0.694,2.549,5.413,2.146,3.441,2.999,5.802,70.66,4.106,1.692,0.25,0.036,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,8.703,12.738,31.042,10.747,4.478,19.877,8.117,3.299,0.0,0.0
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.037,0.076,0.724,0.709,13.526,50.713,25.836,7.713,0.659,0.005,0.0,0.0
75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.145,0.317,0.276,0.851,0.782,0.853,10.296,14.541,28.214,16.952,9.926,14.077,2.704,0.0
74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.005,0.014,0.14,0.667,1.946,1.94,6.895,3.928,8.441,17.969,28.784,28.314,0.938,0.0
76.0,0.0,0.0,0.0,0.0,0.001,0.002,0.006,0.222,0.302,0.42,0.489,0.866,0.86,0.757,1.516,5.926,8.046,9.084,21.822,15.395,12.302,17.723,4.261
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,9.624,9.081,32.452,26.972,21.836,0.0
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.022,0.269,2.76,1.513,1.739,1.434,4.245,9.67,6.093,4.667,12.284,38.547,16.738
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.747,18.252,79.001
