sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
Fresh,LFP,1,24646.982192398926,10673.42081481796,7.35552529237016,5712034.903803331,7813.356560185684,19.939537349013282,1.0,5.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,2,22342.517880440388,9696.757230665975,7.220239191656223,8550127.633074371,8040.749869574289,16.329578055104776,1.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,3,23699.76318198226,10626.184056542674,7.346887984536685,35611786.62825733,10634.19252111315,12.786307722664823,1.0,5.0,0.013,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,4,18195.342893976896,5125.782689501032,6.305091797842841,32610914.795024246,7527.2236440945135,12.644481242181202,1.0,5.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,5,18970.081367961015,5375.608077871419,6.377426548516992,35602372.671502456,7513.29828027601,13.00514125371151,1.0,5.0,0.0031,TLD,SE,Immersion,125000x,New area to account for beam history effect,3,30.0,70.0
Fresh,LFP,6,27573.542689640057,12477.808735965364,7.578949480542276,8482756.393207261,9270.245903974066,17.96999087424433,1.0,5.0,0.1,TLD,SE,Immersion,125000x,same are as sample 5,3,30.0,70.0
Fresh,LFP,7,24525.198424608086,11420.011216438468,7.456406880277193,12952083.433223303,9634.19495853235,14.318055997255334,1.0,5.0,0.05,TLD,SE,Immersion,125000x,same are as sample 5,3,30.0,70.0
Fresh,LFP,8,23776.49939021246,10040.25137332282,7.2844042755055725,38256104.78466959,11328.597581371348,10.999964744043451,1.0,5.0,0.013,TLD,SE,Immersion,125000x,same are as sample 5,3,30.0,70.0
Fresh,LFP,9,12138.429593389026,5140.852848761926,6.309912857678908,34520949.09339467,8002.886744349191,7.658885742829304,1.0,5.0,0.0031,TLD,SE,Immersion,125000x,same are as sample 5,3,30.0,70.0
Fresh,LFP,10,16670.011713593234,5104.453135257708,6.300105442098452,33807821.89543427,7639.757249643934,11.132144130201361,1.0,5.0,0.0031,TLD,SE,Immersion,125000x,"same are as sample 5  and same scan as 9, adjusted brightness",3,30.0,70.0
Fresh,LFP,11,27662.460952325702,12938.990442423506,7.575510810598317,9229586.386847299,8491.407619162435,19.119372533705395,2.0,5.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,12,11985.893659112005,4893.934808784233,6.235523285108678,35805712.710756205,7742.4689603701845,7.759552662204039,2.0,5.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,13,16378.046122756807,6421.138483219344,6.618502547591478,45220361.65831615,9461.637691871847,8.912638087191556,2.0,4.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,14,31656.363143951115,15807.608352090252,7.7367184437071135,12257065.514614204,10700.440486409925,19.72185602160004,2.0,4.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,15,33422.33893551464,14345.640143732991,7.717625291152079,12009111.407855688,11558.65476573865,18.330602164275792,2.0,3.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,16,17040.344611824465,6703.151926798586,6.700001836322609,41723168.22009152,9936.909194444263,9.160690750401653,2.0,3.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,17,17193.257756420175,6071.059567466049,6.483642849317337,36802833.4776964,8980.794962848691,10.52955188794473,2.0,2.0,0.0031,TLD,SE,Immersion,125000x,There are two instances of this one is a little blurry,3,30.0,70.0
Fresh,LFP,17,17745.567879151196,6495.210855196027,6.561951127872528,39402855.92331809,9999.063055347317,9.703456975129304,2.0,2.0,0.0031,TLD,SE,Immersion,125000x,There are two instances of this one is a little blurry,3,30.0,70.0
Fresh,LFP,18,26975.9711388717,10917.715082831002,7.3378936958676615,11011165.97100782,10912.816968086907,14.458977767762072,2.0,2.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,19,26885.2431943585,9483.475830961557,7.005783534655095,7160782.640220059,9070.263328786046,19.37896538731755,2.0,1.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,20,16546.05414088284,5538.704477940947,6.351952038768499,31149937.32430949,9295.958133883496,10.075227618242462,2.0,1.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,21,32200.78928939769,13992.030428412481,7.696908952802444,16863625.08223925,9932.408183144913,20.04854479017556,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,22,24726.936036123145,10977.11295633911,7.381590331487022,12650218.985539783,8164.115280115179,18.864070602881576,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,10.0
Fresh,LFP,23,32925.36309818482,13846.68956560354,7.67377871799859,18355114.90557832,9370.660797773322,24.06081774423165,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,20.0
Fresh,LFP,24,33349.553910117575,14277.428853949386,7.6824722531856535,21481014.396694418,11018.865287924427,17.793714772324666,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,30.0
Fresh,LFP,25,34227.15401002991,14503.63672902228,7.687276042405416,20707198.48570269,10726.017872235727,19.591867202439364,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,40.0
Fresh,LFP,26,34203.8203131446,14650.633070506547,7.679246559211068,23516172.459109537,11667.259170124877,16.547286473508414,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,50.0
Fresh,LFP,27,34870.416382399955,14753.829990644348,7.67488233551746,22801423.327107884,11487.756221977368,17.571763969469238,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,60.0
Fresh,LFP,28,35378.01159305384,14754.014001384348,7.664139089993032,21714422.27867448,10748.089516135424,20.189506877763268,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,70.0
