sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
Fresh,LFP,1,0.4045407,0.20161670067381224,7.2709890653963525,0.0020747863433498424,0.1474841968753173,17.327063591073134,1.0,5.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,2,0.40399355,0.19931146595285446,7.127004524596258,0.003670175781063261,0.16489035712409092,14.403993722837189,1.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,3,0.39832124,0.1969691916198539,7.254584678335271,0.012433540484698987,0.19715281853660657,11.550029677033386,1.0,5.0,0.013,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,4,0.39889112,0.20054575717115258,6.222204676809353,0.05054564638594282,0.2952936466489808,7.06131854353807,1.0,5.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,5,0.4032572,0.2025917130780011,6.293824015115411,0.051008151288833285,0.2831227769500538,7.336747766977711,1.0,5.0,0.0031,TLD,SE,Immersion,125000x,New area to account for beam history effect,3,30.0,70.0
Fresh,LFP,6,0.42236167,0.20497252994779153,7.520155870364271,0.0023116466077568723,0.15167276654447653,16.770216294010037,1.0,5.0,0.1,TLD,SE,Immersion,125000x,same are as sample 5,3,30.0,70.0
Fresh,LFP,7,0.41994318,0.20373177926526106,7.383788093693919,0.004155438187265822,0.17064586489968886,13.857413994765368,1.0,5.0,0.05,TLD,SE,Immersion,125000x,same are as sample 5,3,30.0,70.0
Fresh,LFP,8,0.4155001,0.20073390214752812,7.194606984341418,0.015425024836593203,0.22528597933234842,9.706054632392766,1.0,5.0,0.013,TLD,SE,Immersion,125000x,same are as sample 5,3,30.0,70.0
Fresh,LFP,9,0.4034938,0.20156548325781729,6.229626170393463,0.05345908156014588,0.3134674236275113,6.531532066638943,1.0,5.0,0.0031,TLD,SE,Immersion,125000x,same are as sample 5,3,30.0,70.0
Fresh,LFP,10,0.403917,0.20217614417992427,6.216568085640054,0.05346171329303386,0.3023323986950065,6.838845628047795,1.0,5.0,0.0031,TLD,SE,Immersion,125000x,"same are as sample 5  and same scan as 9, adjusted brightness",3,30.0,70.0
Fresh,LFP,11,0.42632473,0.20612057862595576,7.5353743962019415,0.00235826761015484,0.13503946220145474,18.4979155828912,2.0,5.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,12,0.43246543,0.1926690937237284,6.156243068192343,0.056768548232390637,0.3064974311404061,7.1031546193212245,2.0,5.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,13,0.4297782,0.19163369360622726,6.5358367037106655,0.040919960697636586,0.28237793167953484,7.886807317113653,2.0,4.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,14,0.48304513,0.24120864570061837,7.7367184437071135,0.002853907575651554,0.16327825775199692,19.72185641464456,2.0,4.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,15,0.4817615,0.23111214392463691,7.679603100359062,0.003129695671254956,0.18615239202837988,16.361477863078097,2.0,3.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,16,0.43890274,0.1993133908387033,6.611680069398853,0.03723146649741904,0.2945936393685198,7.991374046354095,2.0,3.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,17,0.43139407,0.18114466277773292,6.395749395397067,0.033371467781881936,0.2686873142231687,8.845298128401858,2.0,2.0,0.0031,TLD,SE,Immersion,125000x,There are two instances of this one is a little blurry,3,30.0,70.0
Fresh,LFP,17,0.42594916,0.18132589540217203,6.475160257981293,0.03117098914887575,0.27960290460541865,8.332514397749161,2.0,2.0,0.0031,TLD,SE,Immersion,125000x,There are two instances of this one is a little blurry,3,30.0,70.0
Fresh,LFP,18,0.44569886,0.186796425828689,7.273900329019607,0.0032910134341386237,0.18627834238703256,13.958194491370849,2.0,2.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,19,0.47829893,0.17431049073810947,6.930333471838015,0.0024570115962727745,0.16587780393998725,18.768479522711235,2.0,1.0,0.1,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,20,0.45947966,0.18216402386215155,6.273546448815187,0.0339341653866733,0.3056997252061513,8.51121821949888,2.0,1.0,0.0031,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,21,0.48539773,0.21581798482277134,7.67942696097433,0.004019933267355632,0.1531352305243521,19.570096066965977,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,22,0.45077407,0.1976289609861562,7.328096461834492,0.004120613159278048,0.14596811133214022,19.313114303472226,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,10.0
Fresh,LFP,23,0.49459258,0.21438864267479985,7.654367622348511,0.004409711986301781,0.14500937106380093,23.310931802268332,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,20.0
Fresh,LFP,24,0.50506276,0.21943451090522667,7.67057259139054,0.00508064814645302,0.16931572250360516,17.520550125119286,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,30.0
Fresh,LFP,25,0.51668,0.2237258935253548,7.670800239328498,0.004936125522239203,0.16539777174388048,19.1518787235035,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,40.0
Fresh,LFP,26,0.5182015,0.22517347612214028,7.6675768049793875,0.005562232954992516,0.17928582014311703,16.29988595119845,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,50.0
Fresh,LFP,27,0.5266139,0.22758524356757548,7.65858373682537,0.005435844823631349,0.17715239527186755,17.184846961601576,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,60.0
Fresh,LFP,28,0.53261536,0.22844856235839486,7.644792459542574,0.005217032370346068,0.1663495300483702,19.604794400913768,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,70.0
Fresh,LFP,29,0.53446347,0.2311860142827179,7.63917721240441,0.0059285902899843465,0.18666394482978754,15.790544722614062,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,80.0
Fresh,LFP,30,0.5359547,0.23049025188859426,7.628120744095518,0.005189075501397501,0.17326376794917264,18.461521043144007,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,90.0
