threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.26364672,0.37993695853960396,206,2861.257281553398,95.5,1.782141,0.12563265171758503,TLD,Fresh,LFP,10
0.22297302,0.5808090965346535,133,6774.766917293233,78.0,1.6430248,0.13842100157538298,TLD,Fresh,LFP,12
0.23807974,0.6118257528877887,125,7593.296,63.0,1.6529886,0.13589027483328475,TLD,Fresh,LFP,13
0.44726562,0.5936339727722773,73,12615.616438356165,117.0,1.9714844,0.0894292073898394,TLD,Fresh,LFP,14
0.47461483,0.6011692966171617,93,10028.279569892473,138.0,2.0026515,0.09877129519083559,TLD,Fresh,LFP,15
0.26338091,0.6150725814768977,122,7821.303278688524,91.0,1.7489573,0.1282462325773181,TLD,Fresh,LFP,16
0.46679258,0.25430396555280527,258,1529.1356589147288,88.0,1.5886428,0.1834146832380417,TLD,Fresh,LFP,19
0.45507812,0.38885300639438947,171,3527.783625730994,127.0,1.8375188,0.11886532629142371,TLD,Fresh,LFP,6
0.3817246,0.389803140470297,216,2799.652777777778,92.5,1.7817842,0.1253469403521549,TLD,Fresh,LFP,8
0.25964814,0.37979837046204623,219,2690.4292237442924,69.0,1.7824764,0.1237264854511389,TLD,Fresh,LFP,9
